,file,country,評価年度,評価会社,評価者,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,事業形態,分野,案件名,連番,地域,地域詳細,開発計画一般_cat_flg,総合地域開発計画_cat_flg,行政一般_cat_flg,財政・金融_cat_flg,環境問題_cat_flg,統計_cat_flg,情報・広報_cat_flg,公益事業一般_cat_flg,上水道_cat_flg,下水道_cat_flg,都市衛生_cat_flg,運輸交通一般_cat_flg,道路_cat_flg,陸運_cat_flg,鉄道_cat_flg,海運・船舶_cat_flg,港湾_cat_flg,航空・空港_cat_flg,都市交通_cat_flg,気象・地震_cat_flg,社会基盤一般_cat_flg,河川・砂防_cat_flg,水資源開発_cat_flg,都市計画・土地造成_cat_flg,建築住宅_cat_flg,測量・地図_cat_flg,通信・放送一般_cat_flg,電気通信_cat_flg,放送_cat_flg,農業一般_cat_flg,養蚕_cat_flg,農業土木_cat_flg,農業機械_cat_flg,農産加工_cat_flg,食糧増産援助_cat_flg,畜産_cat_flg,家畜衛生_cat_flg,畜産加工_cat_flg,林業・森林保全_cat_flg,水産_cat_flg,水産加工_cat_flg,鉱業_cat_flg,工業一般_cat_flg,化学工業_cat_flg,機械工業_cat_flg,食品工業_cat_flg,その他工業_cat_flg,エネルギー一般_cat_flg,電力_cat_flg,ガス・石油_cat_flg,新・再生エネルギー_cat_flg,その他エネルギー_cat_flg,商業経営_cat_flg,貿易_cat_flg,観光一般_cat_flg,観光施設_cat_flg,人的資源一般_cat_flg,教育_cat_flg,基礎教育_cat_flg,中等教育_cat_flg,高等教育_cat_flg,職業訓練_cat_flg,科学_cat_flg,文化_cat_flg,保健・医療_cat_flg,基礎保健_cat_flg,人口・家族計画_cat_flg,社会福祉_cat_flg,労働_cat_flg,災害援助_cat_flg,食糧援助_cat_flg,その他_cat_flg,alpha2,alpha3,project_start_year,project_end_year,join_flg,control_of_corruption,government_effectiveness,political_stability,regulatory_quality,rule_of_law,voice_and_accountability,freedom_house_score,gdp_growth,Year,population
0,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0200600_4_f.pdf,ケニア,2010,OPMAC 株式会社,小林信行,1110900000.0,1019900000.0,2002-01-01,2005-11-20,2002-03-01,2005-08-01,32.0,28.0,高い,,高い,,高い,94.0,88.0,中程度,,,非常に高い,プロジェクトコストの実績は日本側負担分のみ。被援助国の実績負担額は不明。プロジェクト期間終了_計画時は、プロジェクト期間開始_計画時（2002年1月）に計画期間（32ヶ月）を加えて算出。,無償,運輸交通一般,アティ橋・イクサ橋架け替え計画,1,アフリカ,東アフリカ,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,KE,KEN,2002,2005,True,-0.9696961045265212,-0.7094062417745592,-1.1974359154701224,-0.267098091542721,-0.9088357537984844,-0.3482360169291495,6.5,0.4578538369999999,2002.0,34197992.5
1,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0202100_4_f.pdf,ベトナム,2010,グローバルリンクマネージメント株式会社,三浦順子,2235000000.0,2206000000.0,2002-07-01,2006-01-01,2002-07-01,2006-01-01,36.0,36.0,高い,,中程度,,高い,98.7,100.0,中程度,,,高い,,無償,上水道,北部地下水開発計画,1,アジア,東南アジア,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,VN,VNM,2002,2006,True,-0.6571446657180786,-0.358962830901146,0.3038833916187285,-0.6377612829208376,-0.5512697577476502,-1.440525865554808,12.6,5.9394639902,2002.0,80386236.4
2,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0202700_4_f.pdf,モンゴル,2010,財団法人国際開発高等教育機構,浜岡真紀,,,2002-06-17,2003-06-15,2003-07-01,2007-03-19,26.0,64.0,高い,,中程度,計画時に想定された間接的効果に加え、生徒の通学・就学意欲の変化、授業の質や生徒の成績の向上、周辺校への波及効果等、様々な間接的効果が発現している。,中程度,96.0,173.0,高い,,,高い,"コストはプロジェクト全体の金額(計画1,856百万円、実績1,788百万円)であり、期別の内訳は記載なし。効率性評価はプロジェクト全体のもの。",無償,教育,第2次初等教育施設整備計画,1,アジア,東アジア,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,MN,MNG,2003,2007,True,-0.4594938546419144,-0.3981783002614976,0.7865168809890748,-0.430626231431961,-0.0795985430479048,0.2471678823232652,4.0,7.428993826,2003.0,2538842.2
3,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0211100_4_f.pdf,中華人民共和国,2010,アイ・シー・ネット株式会社,岸野優子,1785000000.0,1718000000.0,2003-03-01,2008-01-29,2003-03-01,2007-11-01,60.0,57.0,高い,,高い,,高い,96.0,95.0,高い,,,非常に高い,,無償,環境問題,第2次黄河中流域保全林造成計画,1,アジア,東アジア,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CN,CHN,2003,2007,True,-0.5392674267292021,-0.0392745599150656,-0.4996758103370666,-0.2827595561742781,-0.6171953201293946,-1.589179730415344,13.0,11.0573671468,2003.0,1303420000.0
4,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0300500_4_f.pdf,ベトナム,2010,グローバルリンクマネージメント株式会社,三浦順子,2277000000.0,2271000000.0,2003-05-01,2006-03-01,2003-05-01,2006-03-01,35.0,35.0,高い,,中程度,,高い,99.7,100.0,高い,,,非常に高い,,無償,保健・医療,麻疹ワクチン製造施設建設計画,1,アジア,東南アジア,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,VN,VNM,2003,2006,True,-0.6811831295490265,-0.339374389499426,0.2914339527487755,-0.6054531931877137,-0.5193367898464203,-1.438452690839765,12.5,6.115035757,2003.0,80789739.5
5,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0300700_4_f.pdf,ガーナ,2010,OPMAC 株式会社,宮崎慶司・三島光恵,6745000000.0,6526000000.0,,,2003-07-01,2007-11-01,,53.0,高い,,中程度,中程度,中程度,98.0,104.0,高い,,,高い,,無償,道路,幹線道路改修計画,1,アフリカ,西アフリカ,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,GH,GHA,2003,2007,True,-0.1871471071615816,-0.1478577177971602,0.0346063529141248,-0.2128667831420895,-0.0314444253221154,0.2983737885951998,3.4,2.751454673,2003.0,22459484.4
6,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0304000_4_f.pdf,ニカラグア,2010,財団法人国際開発高等教育機構,野口純子,1672000000.0,1585400000.0,2003-07-01,2005-04-05,2005-06-01,2007-03-01,41.0,43.0,高い,,高い,,中程度,95.0,104.0,中程度,,,高い,被援助国負担額はプロジェクト全体の金額です。,無償,教育,マナグア県基礎教育施設整備計画,1,中南米,中央アメリカ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NI,NIC,2005,2007,True,-0.6859151323636373,-0.891629159450531,-0.2424744789799053,-0.440867493549983,-0.7183637022972107,-0.220175415277481,6.0,3.062401694666667,2005.0,5419401.0
7,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0306300_4_f.pdf,カンボジア,2010,カンボジア事務所,,905000000.0,767000000.0,2003-08-01,2006-04-25,2005-08-01,2006-11-01,71.0,81.0,高い,,高い,高い,中程度,85.0,119.0,中程度,,,高い,,無償,保健・医療,感染症対策計画,1,アジア,東南アジア,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,KH,KHM,2005,2006,True,-1.242062747478485,-0.9915836751461036,-0.369947329163551,-0.5751605927944186,-1.240003407001495,-0.9744922220706924,11.0,10.4908550765,2005.0,13539115.0
8,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0307400_4_f.pdf,ネパール,2010,株式会社国際開発センター,石田洋子,2095000000.0,2039000000.0,2003-10-01,2007-01-05,2003-10-01,2007-01-05,36.0,39.0,高い,高い,中程度,,高い,97.0,100.0,中程度,,,高い,,無償,教育,「万人のための教育」支援のための小学校建設計画,1,アジア,南アジア,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NP,NPL,2003,2007,True,-0.7537305116653442,-0.8534123182296754,-1.983844876289368,-0.5137600958347319,-0.6798155069351196,-0.9392023324966432,9.6,2.6198346036,2003.0,26273757.8
9,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0308100_4_f.pdf,タンザニア,2010,早稲田大学,樋渡類・大門毅,1737000000.0,1671000000.0,2003-10-01,2007-02-04,2003-10-01,2007-03-01,41.0,42.0,高い,,高い,高い,中程度,94.0,102.0,中程度,,,高い,,無償,上水道,リンディ州・ムトワラ州水供給計画,1,アフリカ,東アフリカ,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,TZ,TZA,2003,2007,True,-0.4944092273712158,-0.484680461883545,-0.5710447371006012,-0.4928934216499328,-0.361657679080963,-0.3334233909845354,7.0,4.0991485054000005,2003.0,39222342.6
